trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda
45,PRUNED,-0.2885569695313308,-0.28679179175195724,2026-08-09 21:48:31.171730,2026-08-09 21:48:54.425410,23.25368,700,0.023946591365934675,6,1.8780829916578756,0.7814642143001149,0.7505654253697462,0.054782764426991516
46,COMPLETE,-0.28693924877130766,-0.28679179175195724,2026-08-09 21:48:54.433575,2026-08-09 21:49:37.519419,43.085844,600,0.011307151072146632,8,3.3561060258444515,0.8304171957458313,0.8245595000468724,0.004356591185947706
47,PRUNED,-0.2894961930347938,-0.28679179175195724,2026-08-09 21:49:37.526449,2026-08-09 21:49:59.768335,22.241886,500,0.016482543876464185,10,3.615261264667065,0.8612550113764099,0.8170008654794378,0.023556350539022972
48,COMPLETE,-0.2870762651734545,-0.28679179175195724,2026-08-09 21:49:59.776056,2026-08-09 21:50:45.688643,45.912587,600,0.011945380742448157,9,5.604713553150512,0.8237943072170797,0.7741966626735901,0.012208013555844915
49,PRUNED,-0.28810569344823944,-0.28679179175195724,2026-08-09 21:50:45.695391,2026-08-09 21:51:12.932947,27.237556,900,0.019160776322716466,5,2.411277690891278,0.7540607274601175,0.7234886987502767,0.03972935818477574
50,PRUNED,-0.29094385451154015,-0.28679179175195724,2026-08-09 21:51:12.941097,2026-08-09 21:51:26.953745,14.012648,500,0.027770801744460647,8,3.1610976600319316,0.8380122196638172,0.8249467148392524,0.0016629930878683055
51,COMPLETE,-0.2871823948996818,-0.28679179175195724,2026-08-09 21:51:26.961268,2026-08-09 21:51:58.647930,31.686662,600,0.0150772313118278,5,4.359375969305981,0.9284360826200904,0.7989482805929372,0.006577975755528821
52,COMPLETE,-0.28686925892852655,-0.28679179175195724,2026-08-10 02:51:15.464724,2026-08-10 02:52:09.610793,54.146069,800,0.010033661131625163,7,2.7727100737452246,0.7925404828064408,0.8502138401825626,0.004088137703916443
53,PRUNED,-0.2882093344266526,-0.28679179175195724,2026-08-10 02:52:09.623822,2026-08-10 02:52:41.925713,32.301891,800,0.011944964970846197,8,2.819676471901068,0.7913604098728455,0.7516982141707205,0.005324759352498944
54,COMPLETE,-0.28693236948669343,-0.28679179175195724,2026-08-10 02:52:41.932836,2026-08-10 02:53:31.417252,49.484416,800,0.010957881118664824,7,3.9738619725291215,0.7638386902712484,0.8072636662657274,0.0097935836131764
55,PRUNED,-0.2884012436774569,-0.28679179175195724,2026-08-10 02:53:31.423646,2026-08-10 02:54:07.229964,35.806318,1000,0.011056204777062734,7,3.7540797499643577,0.7605131934359128,0.8922040254928701,0.01721012938700431
56,COMPLETE,-0.2869224255830883,-0.28679179175195724,2026-08-10 02:54:07.237079,2026-08-10 02:54:49.557045,42.319966,600,0.01002640022660561,8,4.092587126500791,0.727237515582007,0.6966219731921359,0.011380202703402328
57,COMPLETE,-0.2871572524111662,-0.28679179175195724,2026-08-10 02:54:49.563616,2026-08-10 02:56:34.876932,105.313316,900,0.010065116430327545,7,6.6800790428677645,0.716609311406361,0.6556402248256016,0.01019992028296989
58,PRUNED,-0.38885725574240815,-0.28679179175195724,2026-08-10 02:56:34.900858,2026-08-10 02:57:13.699365,38.798507,700,0.21370406661903535,8,5.19886899589167,0.7393163280995568,0.7039100700715956,0.02851290656369794
59,PRUNED,-0.2881858710388328,-0.28679179175195724,2026-08-10 02:57:13.725920,2026-08-10 02:58:13.223557,59.497637,800,0.013133826212551679,7,3.9577894112839522,0.7797680380659956,0.7331386387536979,0.04160301262644534
60,COMPLETE,-0.28690746833735464,-0.28679179175195724,2026-08-10 02:58:13.249859,2026-08-10 02:59:04.363906,51.114047,400,0.016925694920845048,6,2.584262322616073,0.7470627810807102,0.6840534181017324,0.01734492521777358
61,PRUNED,-0.287290601216761,-0.28679179175195724,2026-08-10 02:59:04.388166,2026-08-10 02:59:45.231408,40.843242,400,0.016878719808993144,6,2.515892675824841,0.7174556407314454,0.6895766412588697,0.018042654326083866
62,COMPLETE,-0.2868350028598544,-0.28679179175195724,2026-08-10 02:59:45.253750,2026-08-10 03:00:45.254515,60.000765,400,0.015190854255646249,6,2.331990814209732,0.7507983883065513,0.6902908622184825,0.00952800849692059
63,COMPLETE,-0.2870960106145305,-0.28679179175195724,2026-08-10 03:00:45.281332,2026-08-10 03:01:35.968078,50.686746,400,0.019575104358768445,5,2.578857857231894,0.7412288733649119,0.6931555528430571,0.007872582144239262
